division,domain,wealth,age,age_when_married,school,class,working,newspaper,tv,asha,grameen,mclub,born,any,mmore,more,method,died,birth
2,1,1,28,15,1,5,2,2,2,2,2,2,,,2,,1,0,2
2,1,1,49,16,2,,2,,2,2,2,2,,,,,,0,8
2,1,1,30,19,1,5,1,2,2,2,2,2,,,1,,1,0,2
2,1,1,23,17,1,5,1,2,2,2,2,2,,1,,,1,0,0
2,1,1,32,20,1,10,2,2,1,2,2,2,4,,2,,1,0,3
2,1,1,34,15,1,3,1,2,2,2,2,2,4,,2,,1,0,4
2,1,1,24,15,1,5,2,2,2,2,2,2,,,2,,1,0,2
2,1,1,36,20,1,8,2,2,2,1,2,2,,,2,,1,0,4
2,1,3,33,16,1,4,2,2,1,2,2,2,,,2,,1,0,3
2,1,1,27,16,2,,2,,2,2,2,2,,,2,,1,0,3
2,1,2,36,18,1,5,2,2,1,1,2,2,,,2,,1,0,3
2,1,2,34,17,1,5,2,2,2,2,2,2,4,,2,,1,0,3
2,1,1,33,16,2,,2,,2,2,2,2,,,2,,1,0,5
2,1,1,15,12,1,3,2,2,2,2,2,2,,,,,,0,0
2,1,3,34,18,1,12,2,2,1,2,2,2,2,,2,,1,0,3
2,1,1,33,14,2,,1,,2,2,2,2,4,,2,,1,1,4
2,1,1,40,20,1,5,2,2,1,2,2,2,4,,2,,1,0,3
2,1,1,45,15,2,,2,,1,2,1,2,,,2,,1,1,6
2,1,2,47,17,2,,2,,2,2,2,2,,,2,,2,0,6
2,1,1,47,17,1,5,2,2,2,2,2,2,,,2,,2,0,6
2,1,1,39,14,1,2,2,2,2,2,2,2,,,2,,1,0,2
