wealth,age,age_when_married,school,class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
2,41.0,13.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0,4.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
1,35.0,14.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,4.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0
1,25.0,14.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
1,26.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,23.0,13.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,38.0,17.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0,3.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
1,29.0,17.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,31.0,18.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
1,19.0,13.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1,2.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0
1,26.0,12.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1,3.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0
1,42.0,17.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0,4.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
1,24.0,19.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,41.0,18.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,5.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0
2,46.0,13.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
1,49.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
2,30.0,15.0,1.0,10.0,1.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,38.0,18.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,48.0,15.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2,6.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,1,0
1,39.0,19.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,35.0,17.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,26.0,13.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,26.0,17.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,30.0,14.0,1.0,12.0,1.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,26.0,12.0,1.0,9.0,0.0,1.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,49.0,17.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1,3.0,1.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0
2,32.0,19.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,24.0,15.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,25.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,35.0,16.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,2,4.0,1.0,1.0,2.0,0.0,1,0,0,1,0,0,0,0
